User_Profile,Date,Content,Like,Place,Content_tags,Comment_tags,imgs
atelier_fl_,2020-12-3,"🎶🎧 #소니 무선이어폰 케이스 #원데이클래스기종은 #WF1000XM3 로 20만원 정도의 고가의 이어폰인데 마음에 드는 케이스가 없어서 원데이로 직접 제작하셨어요😄 에어팟이나 버즈는 케이스가 많지만 다른 이어폰들은 케이스가 별로 없어 원데이로 많이 제작하는데 그 중 하나에요~ 검정색 #사피아노 가죽을 골라 제작하셨어요!주인을 닮아 똑 떨어지는 깔끔한 스타일로 완성👍🏻👍🏻_더 많은 사진과 영상은 블로그에서 ""소니 무선이어폰"" 검색하시면 확인할 수 있어요😘👉🏻블로그 바로 가기는 프로필 링크 클릭! +𝘏𝘢𝘯𝘥𝘮𝘢𝘥𝘦 𝘓𝘦𝘢𝘵𝘩𝘦𝘳 𝘊𝘳𝘢𝘧𝘵_ 𝘼𝙩𝙚𝙡𝙞𝙚𝙧 𝙁𝙇__________ 전화상담 : 0507-1410-2635카톡상담 : @아뜰리에에프엘 ✔주문제작__나만을 위한 맞춤 아이템✔원데이클래스__초보자 가능✔정규 취미클래스__원하는 아이템 자유제작✔자격증 클래스__패턴부터 제작법까지 모두 드려요✔공방 창업 전문 클래스__7년간 공방을 운영하며 쌓은 제작 노하우까지 아낌없이 드릴게요~✔단체수업__학교, 회사 등 단체를 위한 워크샵과 연수 등, 출강가능!✔샘플 제작&대량 메인 진행 가능 궁금한 점 있다면 고민하지 말고 연락주세요🙂DM보다 카톡 or 전화주세요!DM 누락되는 경우가 종종 있습니다😭😭",2,,"['#소니', '#원데이클래스기종은', '#WF1000XM3', '#사피아노']","['#성수동', '#가죽공방', '#가죽공예', '#성수동가죽공방', '#건대공방', '#건대가죽공방', '#서울숲공방', '#서울숲가죽공방', '#성수가죽공방', '#핸드메이드', '#가방만들기', '#가죽가방', '#가방제작', '#주문제작', '#handmade', '#leathercraft', '#leathergoods', '#무선이어폰', '#이어폰케이스', '#가죽이어폰케이스', '#에어팟', '#버즈', '#에어팟케이스', '#버즈케이스', '#가죽에어팟케이스', '#가죽버즈케이스']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/129131582_202015828224570_7975907825651782496_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Drd2NwwZ-CMAX-3KDwC&tp=1&oh=e0aa1c525857866184c1ed4c6b6405a2&oe=5FF08044
laveillede,2020-12-3,겨울 부케로 우아하게🤍카라와 호접 믹스는 핸들링하기가 꾀나 어렵답니다:)메인 플라워들과 믹스되는 소재들까지 조화롭게 준비해드려요☺️⠀⠀⠀더 많은 부케를 보실 수 있어요👉🏻@laveillede_bouquet⠀⠀⠀✔️ 부케 및 클래스 예약 가능✔️ 꽃 상품 문의👉🏻katalk yyiyeoni⠀⠀⠀#laveillede_bouquet #카라부케 #호접부케 #라베이유드플라워 #성수동꽃집라베이유드플라워#Butonier #weddingbouquet #본식부케 #로즈부케 #flowerlesson #flowerclass #weddingflower#성수동꽃집 #뚝섬역꽃집 #부케 #웨딩부케 #부케추천#부케클래스 #웨딩클래스 #성수동 #플라워샵 #카라부케 #부케공장장 #플로리스트이승아 #12월부케 #겨울부케#다이렉트결혼준비,1,,"['#laveillede_bouquet', '#카라부케', '#호접부케', '#라베이유드플라워', '#성수동꽃집라베이유드플라워', '#Butonier', '#weddingbouquet', '#본식부케', '#로즈부케', '#flowerlesson', '#flowerclass', '#weddingflower', '#성수동꽃집', '#뚝섬역꽃집', '#부케', '#웨딩부케', '#부케추천', '#부케클래스', '#웨딩클래스', '#성수동', '#플라워샵', '#카라부케', '#부케공장장', '#플로리스트이승아', '#12월부케', '#겨울부케', '#다이렉트결혼준비']","['#laveillede_bouquet', '#카라부케', '#호접부케', '#라베이유드플라워', '#성수동꽃집라베이유드플라워', '#Butonier', '#weddingbouquet', '#본식부케', '#로즈부케', '#flowerlesson', '#flowerclass', '#weddingflower', '#성수동꽃집', '#뚝섬역꽃집', '#부케', '#웨딩부케', '#부케추천', '#부케클래스', '#웨딩클래스', '#성수동', '#플라워샵', '#카라부케', '#부케공장장', '#플로리스트이승아', '#12월부케', '#겨울부케', '#다이렉트결혼준비']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/128726146_847356959360126_4875495107171935142_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=mi3KpmUwq5UAX-OLB_8&tp=1&oh=74b7811de7997da43c758d71e7f29eca&oe=5FF23F2E
yeguru77,2020-12-3,다녀온지 벌써 한달이 넘었지만이곳은 갈때마다 기분좋아지는곳💚,5,성수동,[],"['#갤러리까비넷', '#인테리어', '#편집샵', '#성수동', '#데일리룩', '#데일리룩코디', '#데일리룩패션', '#데일리코디', '#오늘의코디', '#일상룩', '#일상코디', '#코디', '#코디스타그램', '#오오티디', '#아웃핏', '#코디', '#코디스타그램', '#트위드자켓', '#그릇', '#줌마그램', '#줌마스타그램', '#줌마일상', '#줌마룩']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/129639902_1520653491463083_7476022774808638520_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=4VxB5-LB8-EAX__gGDm&tp=1&oh=8bb9eb5925829b2786d7f099b5945f79&oe=5FF0434D
wndud092,2020-12-3,작년크리스마스때 유림언니네에서~이번 크리스마스는 우리집에서모이기로~성수동 동치겸 성수동가족들~디데이-3주🥳🥳🥳#성수동#성수동주민#동친#동친모임#성수동가족#크리스마스야빨리와#,9,,"['#성수동', '#성수동주민', '#동친', '#동친모임', '#성수동가족', '#크리스마스야빨리와']","['#성수동', '#성수동주민', '#동친', '#동친모임', '#성수동가족', '#크리스마스야빨리와']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/129120733_2824067377874830_8087822741560705325_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Scm3KGmqhPgAX_Tk_Gm&tp=1&oh=1767f3a87a75863e45766ba30fc9d7d6&oe=5FF02244
ogu_dd2,2020-12-3,이웃집 연동이,20,,[],"['#건대', '#성수', '#건대카페', '#성수동', '#성수동카페', '#강아지', '#멍스타그램', '#멍멍이', '#댕댕이', '#댕댕이그램', '#댕스타그램', '#비숑', '#연동이', '#좋반', '#일상', '#셀카']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128424415_3655342011193858_4651246275345656490_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=prHrj6QuwVEAX-IQkYT&tp=1&oh=cad73e4520ca740388a3c8bffd8cefb1&oe=5FEFD14D
rico._____,2020-12-3,내 피드에 2년에 한번 등장하는 목덜미녀🤍#성수동,18,,['#성수동'],['#성수동'],https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/129390490_389451075624054_7310421388088972368_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=rt3Z5kNE9EkAX-s6jtg&tp=1&oh=2cd91e9015cd41b0605761f2b363d442&oe=5FF02A47
eun_k0ng,2020-12-3,-@gosmap82 @heavenlysharonly_____ 각자 힘든 시기를서로가 서로를 지탱해준 우정보다 진한 그 무엇.영원하자 오래가자 약속은 못해인생은 어떨지 모르는거니까..지금처럼 늘..곁에 있자...-촬영 당일에도 감사했지만다시 꺼내  볼 수 있는 시간을 만들어주셔서 감사합니다!#자아성촬사진관 #자아성촬 #성수동 #셀프사진관,0,,"['#자아성촬사진관', '#자아성촬', '#성수동', '#셀프사진관']","['#자아성촬사진관', '#자아성촬', '#성수동', '#셀프사진관']",
tyche_19,2020-12-3,#👩‍🍳요정 둘에 엄마 하나 #그래도 #즐거웠어요#감사합니다 #미연 #우기#gidle #원데이클래스- #성수동 #히팅스튜디오 에서 -😂🥰🥺🙏🏻👍🙆‍♂️........ #성수 #성수일기 #일상 #daily #dailygram #디저트 #베이킹그램 #베이킹스튜디오 #베이킹 #todayistheday #성수로드 #visitseoul #simplelife #컵케이크 #디저트그램#성수동베이킹 #디저트만들기 #여자아이들 #취미생활 #랜선여행,9,히팅스튜디오,"['#👩\u200d🍳요정', '#그래도', '#즐거웠어요', '#감사합니다', '#미연', '#우기', '#gidle', '#원데이클래스-', '#성수동', '#히팅스튜디오', '#성수', '#성수일기', '#일상', '#daily', '#dailygram', '#디저트', '#베이킹그램', '#베이킹스튜디오', '#베이킹', '#todayistheday', '#성수로드', '#visitseoul', '#simplelife', '#컵케이크', '#디저트그램', '#성수동베이킹', '#디저트만들기', '#여자아이들', '#취미생활', '#랜선여행']","['#👩\u200d🍳요정', '#그래도', '#즐거웠어요', '#감사합니다', '#미연', '#우기', '#gidle', '#원데이클래스-', '#성수동', '#히팅스튜디오', '#성수', '#성수일기', '#일상', '#daily', '#dailygram', '#디저트', '#베이킹그램', '#베이킹스튜디오', '#베이킹', '#todayistheday', '#성수로드', '#visitseoul', '#simplelife', '#컵케이크', '#디저트그램', '#성수동베이킹', '#디저트만들기', '#여자아이들', '#취미생활', '#랜선여행']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128690705_413750873115414_711008150241021825_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Bh5CkPeFn1QAX9_swcz&tp=1&oh=44aa73ae82f03c0edcc048ad814f18bd&oe=5FF20564
comu_daily,2020-12-3,"성수동 프렌치 비스트로 렁팡스, 다음달에 한남동으로 이전하면 또 가야겠다🍽  #렁팡스 #성수동 #미슐랭 #맛따라멋따라 #성수맛집 #성수역맛집",9,L'enfance 렁팡스,"['#렁팡스', '#성수동', '#미슐랭', '#맛따라멋따라', '#성수맛집', '#성수역맛집']","['#렁팡스', '#성수동', '#미슐랭', '#맛따라멋따라', '#성수맛집', '#성수역맛집']",
_hey.v,2020-12-3,#맞팔 #좋반 #좋아요 #일상 #데일리룩 #피팅모델 #성수동 #잠실 #연남동 #카페 #데일리 #홍대 #오오티디 #셀카 #셀피 #ootd #selfie #fff #follow #선팔맞팔 #selca #핫플,13,,"['#맞팔', '#좋반', '#좋아요', '#일상', '#데일리룩', '#피팅모델', '#성수동', '#잠실', '#연남동', '#카페', '#데일리', '#홍대', '#오오티디', '#셀카', '#셀피', '#ootd', '#selfie', '#fff', '#follow', '#선팔맞팔', '#selca', '#핫플']","['#맞팔', '#좋반', '#좋아요', '#일상', '#데일리룩', '#피팅모델', '#성수동', '#잠실', '#연남동', '#카페', '#데일리', '#홍대', '#오오티디', '#셀카', '#셀피', '#ootd', '#selfie', '#fff', '#follow', '#선팔맞팔', '#selca', '#핫플']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128930086_289716512461056_4969226456298485210_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=KhELdKoe3BwAX_J2Rbo&tp=1&oh=f7b2efe909d2bb70a847872252721b7f&oe=5FF25FDE
