User_Profile,Date,Content,Like,Place,Content_tags,Comment_tags,imgs
momojmall6326,2020-12-3,■ 상 품 명 : 샤넬 클래식 플랩백■ 상품문의: no.1894가격문의는 카톡으로 사진과함께 보내주세요-----------------------카톡상담 24시간 문의가능카톡ID: ssumj777 친구추가 ID로 검색하세요블로그주소: https://blog.naver.com/woo4251모모제이 블로그 이벤트 행사중이에요-------------------------■ 소  재 : 캐비어■ 사 이 즈 : 23cm■ 상세설명: #샤넬클래식 신상 플랩백이에요#샤넬백 23cm사이즈에요#샤넬가방 클래식라인 심플하면서 고급스러운 상품이에요모모제이에서 만나보세요#한강#육아일기#육아맞팔#40대#목요일#울애기#문센룩#강남옷가게#도치맘#대구맘일상#아산맘#전업맘#줌마스타그램#육아#경리단길#애스타그램#다사맘#순광맘#육아소통맞팔#젊은엄마#육아템#공주맘,,,"['#샤넬클래식', '#샤넬백', '#샤넬가방', '#한강', '#육아일기', '#육아맞팔', '#40대', '#목요일', '#울애기', '#문센룩', '#강남옷가게', '#도치맘', '#대구맘일상', '#아산맘', '#전업맘', '#줌마스타그램', '#육아', '#경리단길', '#애스타그램', '#다사맘', '#순광맘', '#육아소통맞팔', '#젊은엄마', '#육아템', '#공주맘']","['#샤넬클래식', '#샤넬백', '#샤넬가방', '#한강', '#육아일기', '#육아맞팔', '#40대', '#목요일', '#울애기', '#문센룩', '#강남옷가게', '#도치맘', '#대구맘일상', '#아산맘', '#전업맘', '#줌마스타그램', '#육아', '#경리단길', '#애스타그램', '#다사맘', '#순광맘', '#육아소통맞팔', '#젊은엄마', '#육아템', '#공주맘']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/128748518_1340135686321769_6109374762380148513_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=KOoj3UGg_EEAX-Em0GX&tp=1&oh=a38eee101213ba311bdb812e45339d79&oe=5FEF9493
momojmall6326,2020-12-3,"■ 상 품 명 : #샤넬 클래식 플랩백■ 상품문의: no.1893가격문의는 카톡으로 사진과함께 보내주세요-----------------------카톡상담 24시간 문의가능카톡ID: ssumj777 친구추가 ID로 검색하세요블로그주소: https://blog.naver.com/woo4251모모제이 블로그 이벤트 행사중이에요-------------------------■ 소  재 : 캐비어■ 사 이 즈 : 23cm■ 상세설명: #샤넬클래식 신상 플랩백이에요1:1제작 최상급상품이며 #샤넬백 23cm사이즈에요#샤넬가방 클래식라인 심플하면서 고급스러운 상품이에요봉제,가죽,금속등 정품과 구별불가능 제품입니다#상무지구#여자맘#청담#동탄맘#용띠맘#포항맘#세종맘#병점맘#경리단길#마산맘#초딩맘#40대맘#공주맘#송탄맘#초보맘#딸과함께#애둘맘#다이어트그램",2,,"['#샤넬', '#샤넬클래식', '#샤넬백', '#샤넬가방', '#상무지구', '#여자맘', '#청담', '#동탄맘', '#용띠맘', '#포항맘', '#세종맘', '#병점맘', '#경리단길', '#마산맘', '#초딩맘', '#40대맘', '#공주맘', '#송탄맘', '#초보맘', '#딸과함께', '#애둘맘', '#다이어트그램']","['#샤넬', '#샤넬클래식', '#샤넬백', '#샤넬가방', '#상무지구', '#여자맘', '#청담', '#동탄맘', '#용띠맘', '#포항맘', '#세종맘', '#병점맘', '#경리단길', '#마산맘', '#초딩맘', '#40대맘', '#공주맘', '#송탄맘', '#초보맘', '#딸과함께', '#애둘맘', '#다이어트그램']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/128998825_691538898220259_7625166537976447841_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=IbG9SGs_3hwAX_8sBiD&tp=1&oh=ab2439620c356b32cde01873732292bf&oe=5FF0DE51
jin_tonic_real,2020-12-3,반창고 1주년 기념 파티내가 좋아하는 사람들과 좋은 시간을 보내서 행복한 하루였다,3,반창고 Bandage,[],"['#반창고', '#반창고바', '#bandagebar', '#경리단길', '#이태원', '#경리단길맛집', '#이태원맛집', '#칵테일바', '#이태원칵테일바', '#경리단길칵테일바', '#마티니', '#미드나잇', '#문페이즈', '#martini', '#midnight', '#moonphase', '#🍸', '#반창고1주년', '#축하해요', '#🥳']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/129089623_199898154954261_3257794077719852566_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=ihx0KRw8KikAX8ejSuO&tp=1&oh=9cece43f423a9386e6683c0d3af03f66&oe=5FF2CC42
momojmall6326,2020-12-3,"■ 상 품 명 : #샤넬 클래식 플랩백■ 상품문의: no.1892가격문의는 카톡으로 사진과함께 보내주세요-----------------------카톡상담 24시간 문의가능카톡ID: ssumj777 친구추가 ID로 검색하세요블로그주소: https://blog.naver.com/woo4251모모제이 블로그 이벤트 행사중이에요-------------------------■ 소  재 : 램스킨■ 사 이 즈 : 23cm■ 상세설명: #샤넬클래식 신상 플랩백이에요1:1제작 최상급상품이며 #샤넬백 23cm사이즈에요#샤넬가방 클래식라인 심플하면서 고급스러운 상품이에요봉제,가죽,금속등 정품과 구별불가능 제품입니다#줌마그램#문센패션#맘룩#맘스룩#딸스타그램#애스타그램#송파#서산맘#경남맘#아산맘#경리단길#해운대맘#대구맘소통#전업맘#광명맘#맘소통#송도맘",,,"['#샤넬', '#샤넬클래식', '#샤넬백', '#샤넬가방', '#줌마그램', '#문센패션', '#맘룩', '#맘스룩', '#딸스타그램', '#애스타그램', '#송파', '#서산맘', '#경남맘', '#아산맘', '#경리단길', '#해운대맘', '#대구맘소통', '#전업맘', '#광명맘', '#맘소통', '#송도맘']","['#샤넬', '#샤넬클래식', '#샤넬백', '#샤넬가방', '#줌마그램', '#문센패션', '#맘룩', '#맘스룩', '#딸스타그램', '#애스타그램', '#송파', '#서산맘', '#경남맘', '#아산맘', '#경리단길', '#해운대맘', '#대구맘소통', '#전업맘', '#광명맘', '#맘소통', '#송도맘']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/129720911_712244069416628_4376178435336645016_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=6AHoPa6VC-4AX_mMOuW&tp=1&oh=35c415a1bf32bc286555c24ddf23656b&oe=5FF15B85
2n.ubersexual,2020-12-3,이태원 술집 알바생,0,,[],[],
2n.ubersexual,2020-12-3,,,,[],[],https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128527274_381857076260113_6306332751310740840_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=DnzZmFncbvEAX__rRS6&tp=1&oh=09a6ea4151a75fa0bfa2f850adf7bac7&oe=5FF34676
2n.ubersexual,2020-12-3,,,,[],[],https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/129382658_754803965109429_6613062415423847049_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=XAQXFmseZQoAX86Dzpm&tp=1&oh=f786bb3c44d8e36cace9b7073e764b21&oe=5FF0EB5A
torykeer,2020-12-3,"1등실장 해태핫해 마셔마셔 놀자놀아24시문의 010-8079-2432홍대호빠 신촌호빠 NO.1선수무한초이스 싸이즈좋아요단체/생파/혼술하실분 좋아요서울/수도권/전지역 무료픽업훈남상시모집1시간당40,000#선수모집#선수구함#선수알바#여성전용#여성전용노래방#홍대호빠실장#호빠실장#호빠선수#호빠선수모집#호빠선수알바#호빠위치#호빠문의#호빠가격#호빠추천#홍대호빠추천#신촌여성전용#홍대여성전용#술스타그램#골프스타그램#라페스타#웨스턴돔#경리단길#용산노래방#합정맛집#신촌호빠#홍대호빠#이태원호빠#영등포호빠#신림호빠#강남호빠",,,"['#선수모집', '#선수구함', '#선수알바', '#여성전용', '#여성전용노래방', '#홍대호빠실장', '#호빠실장', '#호빠선수', '#호빠선수모집', '#호빠선수알바', '#호빠위치', '#호빠문의', '#호빠가격', '#호빠추천', '#홍대호빠추천', '#신촌여성전용', '#홍대여성전용', '#술스타그램', '#골프스타그램', '#라페스타', '#웨스턴돔', '#경리단길', '#용산노래방', '#합정맛집', '#신촌호빠', '#홍대호빠', '#이태원호빠', '#영등포호빠', '#신림호빠', '#강남호빠']","['#선수모집', '#선수구함', '#선수알바', '#여성전용', '#여성전용노래방', '#홍대호빠실장', '#호빠실장', '#호빠선수', '#호빠선수모집', '#호빠선수알바', '#호빠위치', '#호빠문의', '#호빠가격', '#호빠추천', '#홍대호빠추천', '#신촌여성전용', '#홍대여성전용', '#술스타그램', '#골프스타그램', '#라페스타', '#웨스턴돔', '#경리단길', '#용산노래방', '#합정맛집', '#신촌호빠', '#홍대호빠', '#이태원호빠', '#영등포호빠', '#신림호빠', '#강남호빠']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/129432720_675394530015623_1860658167065682460_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=JOFqzsevFCIAX81F_zt&tp=1&oh=78a25a4dd3897882cb6ba51aa1ac5b50&oe=5FF0DB16
momojmall6326,2020-12-3,"■ 상 품 명 : 샤넬 쉐브론 미듐■ 상품문의: no.1889가격문의는 카톡으로 사진과함께 보내주세요-----------------------카톡상담 24시간 문의가능카톡ID: ssumj777 친구추가 ID로 검색하세요블로그주소: https://blog.naver.com/woo4251모모제이 블로그 이벤트 행사중이에요-------------------------■ 소  재 : 램스킨■ 사 이 즈 : 25cm■ 상세설명: #샤넬백 쉐브론 램스킨 플랩백이에요1:1제작 최상급상품이며 #샤넬쉐브론 미듐사이즈에요#샤넬가방 쉐브론라인 심플하면서 고급스러운 상품이에요봉제,가죽,금속등 정품과 구별불가능 제품입니다#전북맘#돌끝맘#경상도맘#인천맘#딸램#휴일일상#강북#동두천맘#다사맘#여자맘#요가#육아맘환영#경리단길#청담동#죽전맘#부평맘#뱀띠맘#세천맘#맘스룩",,,"['#샤넬백', '#샤넬쉐브론', '#샤넬가방', '#전북맘', '#돌끝맘', '#경상도맘', '#인천맘', '#딸램', '#휴일일상', '#강북', '#동두천맘', '#다사맘', '#여자맘', '#요가', '#육아맘환영', '#경리단길', '#청담동', '#죽전맘', '#부평맘', '#뱀띠맘', '#세천맘', '#맘스룩']","['#샤넬백', '#샤넬쉐브론', '#샤넬가방', '#전북맘', '#돌끝맘', '#경상도맘', '#인천맘', '#딸램', '#휴일일상', '#강북', '#동두천맘', '#다사맘', '#여자맘', '#요가', '#육아맘환영', '#경리단길', '#청담동', '#죽전맘', '#부평맘', '#뱀띠맘', '#세천맘', '#맘스룩']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/128784169_739967343566715_2731209075914368790_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=G2Mi-3njP1sAX9uYhaj&tp=1&oh=11c57f30a74b7a56578cdcacda27d925&oe=5FF32462
sweetraon,2020-12-3,"1등실장 해태핫해 마셔마셔 놀자놀아24시문의 010-8079-2432홍대호빠 신촌호빠 NO.1선수무한초이스 싸이즈좋아요단체/생파/혼술하실분 좋아요서울/수도권/전지역 무료픽업훈남상시모집1시간당40,000#선수모집#선수구함#선수알바#여성전용#여성전용노래방#홍대호빠실장#호빠실장#호빠선수#호빠선수모집#호빠선수알바#호빠위치#호빠문의#호빠가격#호빠추천#홍대호빠추천#신촌여성전용#홍대여성전용#술스타그램#골프스타그램#라페스타#웨스턴돔#경리단길#용산노래방#합정맛집#신촌호빠#홍대호빠#이태원호빠#영등포호빠#신림호빠#강남호빠",,,"['#선수모집', '#선수구함', '#선수알바', '#여성전용', '#여성전용노래방', '#홍대호빠실장', '#호빠실장', '#호빠선수', '#호빠선수모집', '#호빠선수알바', '#호빠위치', '#호빠문의', '#호빠가격', '#호빠추천', '#홍대호빠추천', '#신촌여성전용', '#홍대여성전용', '#술스타그램', '#골프스타그램', '#라페스타', '#웨스턴돔', '#경리단길', '#용산노래방', '#합정맛집', '#신촌호빠', '#홍대호빠', '#이태원호빠', '#영등포호빠', '#신림호빠', '#강남호빠']","['#선수모집', '#선수구함', '#선수알바', '#여성전용', '#여성전용노래방', '#홍대호빠실장', '#호빠실장', '#호빠선수', '#호빠선수모집', '#호빠선수알바', '#호빠위치', '#호빠문의', '#호빠가격', '#호빠추천', '#홍대호빠추천', '#신촌여성전용', '#홍대여성전용', '#술스타그램', '#골프스타그램', '#라페스타', '#웨스턴돔', '#경리단길', '#용산노래방', '#합정맛집', '#신촌호빠', '#홍대호빠', '#이태원호빠', '#영등포호빠', '#신림호빠', '#강남호빠']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/129429248_732598867638197_8597447568606962338_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=YPRE7qH8hrMAX8nEPyL&tp=1&oh=55f9906d9e245980a3f6c5dd13590c06&oe=5FF230B3
