User_Profile,Date,Content,Like,Place,Content_tags,Comment_tags,imgs
the_kham_,2020-12-1,롱체인 드롭 진주귀걸이🖤,0,,[],"['#더캄', '#악세사리', '#악세사리쇼핑몰', '#패션악세사리', '#커스텀주얼리', '#담수진주귀걸이', '#롱체인귀걸이', '#드롭귀걸이', '#언발란스귀걸이', '#진주귀걸이코디', '#귀걸이맛집', '#겨울악세사리', '#악세사리코디', '#악세사리맛집', '#무니켈귀걸이', '#롱드롭귀걸이', '#한남동', '#이태원', '#경리단길']",
oahyeon,2020-12-1,목두리 첫게시🏷,19,,[],"['#igers', '#인친', '#첫줄', '#데일리', '#셀카', '#일상', '#인친', '#선팔', '#좋아요', '#부산', '#일출', '#맞팔', '#해운대', '#동명동', '#상무지구', '#가로수길', '#경리단길', '#차박', '#애월맛집', '#서울', '#이태원', '#동성로', '#운동', '#셀피', '#좋반', '#오오티티', '#둔산동', '#대전', '#홍대', '#캠핑', '#광안리']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128358316_747387375880580_394246052636646653_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=RqFwGzVZCJwAX_5a8lp&tp=1&oh=00df6579390c0f1a5e1100bc5c87f93c&oe=5FEF7D65
u_rn_,2020-12-1,#좋아요 #좋반 #좋반테러 #좋아요반사 #서면 #해운대 #광안리 #경리단길 #가로수길 #홍대 #강남 #선팔맞팔 #소통해요 #좋아요 #소통 #분위기 #셀카 #일상 #인친 #인친해요 #셀스타그램 #셀피 #likeforlikes #likeforfollow #like4likes #daily #follwo_me,24,,"['#좋아요', '#좋반', '#좋반테러', '#좋아요반사', '#서면', '#해운대', '#광안리', '#경리단길', '#가로수길', '#홍대', '#강남', '#선팔맞팔', '#소통해요', '#좋아요', '#소통', '#분위기', '#셀카', '#일상', '#인친', '#인친해요', '#셀스타그램', '#셀피', '#likeforlikes', '#likeforfollow', '#like4likes', '#daily', '#follwo_me']","['#좋아요', '#좋반', '#좋반테러', '#좋아요반사', '#서면', '#해운대', '#광안리', '#경리단길', '#가로수길', '#홍대', '#강남', '#선팔맞팔', '#소통해요', '#좋아요', '#소통', '#분위기', '#셀카', '#일상', '#인친', '#인친해요', '#셀스타그램', '#셀피', '#likeforlikes', '#likeforfollow', '#like4likes', '#daily', '#follwo_me']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128946532_810339829526091_741493196341507615_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=ybTs6u9oH4IAX8kpsXu&tp=1&oh=a3ac8372afd337834de742ff98e6838c&oe=5FEF7921
luh_i_,2020-12-1,이번년도 막달도 잘 부탁해 지현 😘,23,,[],"['#셀카', '#셀기꾼', '#셀스타그램', '#경리단길', '#일상', '#선팔', '#맞팔', '#여행', '#오오티디', '#럽스타그램', '#인스타그램', '#운동', '#DM', '#카페', '#서면', '#서울', '#아메카지룩', '#가로수길', '#전포카페', '#좋아요테러반사', '#좋아요반사', '#인친', '#소통', '#빈티지', '#패션', '#대학생', '#감성', '#selfie', '#l4l', '#f4f']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128358882_1054513044974511_6903996568819537406_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=WUHiVkbKOT0AX8bssaq&tp=1&oh=62f59c139fe0c5007f80a5e7a221e2e1&oe=5FEF5A1F
supersexy112,2020-12-1,#협찬.코로나라서 못앉은게 한...다음에 꼭 다시도전 👊🏻 .#그래도진짜리뷰 #먼셀커피 #이태원카페 #자세한건네이버검색 #이태원 #경리단길 #커피 #이태원커피 #인테리어 #카페스타그램 #감성 #디저트맛집,15,Itaewon,"['#협찬.코로나라서', '#그래도진짜리뷰', '#먼셀커피', '#이태원카페', '#자세한건네이버검색', '#이태원', '#경리단길', '#커피', '#이태원커피', '#인테리어', '#카페스타그램', '#감성', '#디저트맛집']","['#협찬.코로나라서', '#그래도진짜리뷰', '#먼셀커피', '#이태원카페', '#자세한건네이버검색', '#이태원', '#경리단길', '#커피', '#이태원커피', '#인테리어', '#카페스타그램', '#감성', '#디저트맛집']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/129177541_2815870792014883_5325288905833035759_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=b-hVUsMRq_AAX-lR11F&tp=1&oh=00b1b1590a999266fa6c816da69b0e54&oe=5FEDEED4
unduk_dabang,2020-12-1,언덕다방12/1일 정상영업합니다🤗12:00pm open..벌써 2020년 마지막 달이 되었네요🎄매장에 손님은 없지만 신나게 캐롤 틀어 놨어요 잠깐 오시더라도 크리스마스 기분 느끼고 가세요🎅🏼..오늘도 언다하세요🐒...🍰오늘의 디저트- 딸기쇼트케이크💥- 딸기타르트💥- 쨈버터스콘💥- 바나나케이크💥- 망고타르트💥- 불루베리타르트💥- 인절미스콘💥- 르뱅쿠키💥- 바스크치즈케이크- 체리파이- 샤인머스켓타르트- 당근케이크- 에그타르트- 갈릭타르트- 트러플마카롱- 황치즈마카롱- 애플크럼블마카롱- 쿠키오레오마카롱- 흑임자마카롱- 딸기마카롱- 얼그레이마카롱- 캬라멜마카롱- 치즈크래커머랭쿠키,11,언덕다방 Unduk Dabang,[],"['#보광동', '#보광동카페', '#보광동디저트', '#한남동', '#한남동카페', '#이태원카페', '#이태원맛집', '#용산구카페', '#용산', '#이태원', '#해방촌', '#경리단길', '#이촌카페', '#디저트', '#카페', '#카페투어', '#다방', '#디저트만드는다방', '#언덕다방', '#undukdabang', '#디저트카페', '#디저트카페추천', '#디저트맛집', '#커피맛집', '#주문케이크', '#동네카페', '#맛있다', '#오늘뭐먹지', '#strawberry', '#빵']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/129159793_799120770644929_1031471715109880202_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=WPQ46HZoAAcAX9CjAU3&tp=1&oh=ea023ca538c413a42d9473653c391c89&oe=5FF07275
qmddj,2020-12-1,#셀스타그램#패션스타그램#옷스타그램#얼스타그램#데일리#일상#커피#맞팔#소통#인친#팔로우#이태원#부산#경리단길#한남동#운동스타그램#콧수염#명동#selfie#해방촌#운동#헬스타그램#맛집,7,,"['#셀스타그램', '#패션스타그램', '#옷스타그램', '#얼스타그램', '#데일리', '#일상', '#커피', '#맞팔', '#소통', '#인친', '#팔로우', '#이태원', '#부산', '#경리단길', '#한남동', '#운동스타그램', '#콧수염', '#명동', '#selfie', '#해방촌', '#운동', '#헬스타그램', '#맛집']","['#셀스타그램', '#패션스타그램', '#옷스타그램', '#얼스타그램', '#데일리', '#일상', '#커피', '#맞팔', '#소통', '#인친', '#팔로우', '#이태원', '#부산', '#경리단길', '#한남동', '#운동스타그램', '#콧수염', '#명동', '#selfie', '#해방촌', '#운동', '#헬스타그램', '#맛집']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128250387_578857472937745_2055260807518278910_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=hPx4GANleBkAX_J5MGK&tp=1&oh=2e3eb2710130ed17fcf565204b73b3eb&oe=5FEFA20B
abc2019gks,2020-12-1,인테리어 짱이다#맞팔환영#인친환영#선팔하면맞팔 #nba #팔로잉 #me #tbt#브런치 #팔로워 #병원 #트레이너 #경리단길 #bored #instago #instacool #harajuku #kimono #취미 #수영복 #수영 #나들이 #아가#미술관 #멍멍이 #실시간 #고기스타그램 #baby #luv #좋아요,16,,"['#맞팔환영', '#인친환영', '#선팔하면맞팔', '#nba', '#팔로잉', '#me', '#tbt', '#브런치', '#팔로워', '#병원', '#트레이너', '#경리단길', '#bored', '#instago', '#instacool', '#harajuku', '#kimono', '#취미', '#수영복', '#수영', '#나들이', '#아가', '#미술관', '#멍멍이', '#실시간', '#고기스타그램', '#baby', '#luv', '#좋아요']","['#맞팔환영', '#인친환영', '#선팔하면맞팔', '#nba', '#팔로잉', '#me', '#tbt', '#브런치', '#팔로워', '#병원', '#트레이너', '#경리단길', '#bored', '#instago', '#instacool', '#harajuku', '#kimono', '#취미', '#수영복', '#수영', '#나들이', '#아가', '#미술관', '#멍멍이', '#실시간', '#고기스타그램', '#baby', '#luv', '#좋아요']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128424417_404253567592192_6250342603232993492_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=J18veFEUUXgAX9mTBCR&tp=1&oh=ce1482deab9fd4d30f6b976a984cc76d&oe=5FEEAD5E
bana_kijung,2020-12-1,#8바나플 [8anapple] _ 이발 완료진짜 찰떡같이내 맘을 이해하시고내 맘에 쏙들게컷트해주심😭♥️자기 만족으로 사는 애는완전 맘에 듭니다아🖤,34,,['#8바나플'],['#8바나플'],https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/129142438_654455388554600_315460702807908046_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=cE8z-J0XTacAX8hnZUt&tp=1&oh=33f768a7678115c8732058f1fce2ae67&oe=5FEEBEFD
hk8989777,2020-12-1,"...💯모두 제품 실사진이구욤 ㅡㅡㅡ 💯문의는 사진 캡쳐하셔서 톡으로 부탁드립니다 🙏 다이렉트 답변 굉장히 늦어요^^ .7년째 한 공장에서 제작중이며, 현지에 상주하고 있는 도/ 소매 - 원청이에요 👍👍 국내에선 이보다 좋은 제품은 없어요^^ 최고 퀄리티 제품이기때문에 믿고 구매하셔도 되세요 ————- .#데일리룩 #광교신도시 #대한항공 #인천공항 #인천공항 제여객터미널 #홍콩글래머 #연휴 #핫딜 #블로그마켓 #마켓컬리 #경리단길 #해운대술집 #겟올라잇 #와인추천",4,,"['#데일리룩', '#광교신도시', '#대한항공', '#인천공항', '#인천공항', '#홍콩글래머', '#연휴', '#핫딜', '#블로그마켓', '#마켓컬리', '#경리단길', '#해운대술집', '#겟올라잇', '#와인추천']","['#데일리룩', '#광교신도시', '#대한항공', '#인천공항', '#인천공항', '#홍콩글래머', '#연휴', '#핫딜', '#블로그마켓', '#마켓컬리', '#경리단길', '#해운대술집', '#겟올라잇', '#와인추천']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128701209_134752211499439_1857010993833160371_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=L92bLJWLy8kAX9RRxlO&tp=1&oh=a86b6ff7060883cc3e6e948714558ec4&oe=5FEF6518
