User_Profile,Date,Content,Like,Place,Content_tags,Comment_tags,imgs
arthur_nanji_mokdong_cats,2020-12-1,"우리 복삼이 퇴원 ~~~8개월만에 집에 갔어요..1. 첫사진은 구조 되지 얼마 되지 않았을때2. 14주 신약 맞고 나름정상수치로 퇴원 했다가 4일만에 재 입원...3. 집사들 긴장 풀지 말라고 퇴원 전날 단식을 하셔서 다시 비상...4. 약 다시구해 두고 하니 병원에서 연락.. 밥 다 드셨다고.,5. 6. 다시 부랴부랴 관계자들 집합전 밥 엄마한테 서비스 받고 계시다~7. 퇴원하셔서 다시 단식..8. 길에서 즐기시던 캔 조금 긴장 안풀 정도만 드셨다..오늘 아침 싹 먹고 잘 싸두고~^^이제 안정화 찾자...우리가 더 해줄께 없다...깜찍이 집사님 감사해요. 집사님 덕분에 복삼이 살았어요..최집사님 고생 많았어요 복삼이랑 행복한 꿈꾸세요..나두 너무 고생했다.. 진짜 ㅡㅡ^#복삼이 #길고양이 #연남동고양이 #연남동 #복삼이행복하게살기추진위원회#냥스타그램 #캣스타그램",,,"['#복삼이', '#길고양이', '#연남동고양이', '#연남동', '#복삼이행복하게살기추진위원회', '#냥스타그램', '#캣스타그램']","['#복삼이', '#길고양이', '#연남동고양이', '#연남동', '#복삼이행복하게살기추진위원회', '#냥스타그램', '#캣스타그램']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128387384_479596473012390_9064118309783309859_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=RJIXI3MSjc8AX_XukP6&tp=1&oh=7a03bdded5c3d0a1ab04511e3028f856&oe=5FEE7355
az.___.k,2020-12-1,돈까스 투어 중....#이태원 #홍대 #동성로 #가로숲길 #건대 #나이키 #서면 #해운대 #연남동 #인스타그램 #대구 #대구카페 #대구맛집 #선팔맞팔,1,,"['#이태원', '#홍대', '#동성로', '#가로숲길', '#건대', '#나이키', '#서면', '#해운대', '#연남동', '#인스타그램', '#대구', '#대구카페', '#대구맛집', '#선팔맞팔']","['#이태원', '#홍대', '#동성로', '#가로숲길', '#건대', '#나이키', '#서면', '#해운대', '#연남동', '#인스타그램', '#대구', '#대구카페', '#대구맛집', '#선팔맞팔']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128640413_1292375904477940_3171362295869529898_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=D6ZE6yA57aoAX_5SZ8t&tp=1&oh=19365bb144f3f34a7814e7d14b63f0a6&oe=5FEE2EEB
cheap_box,2020-12-1,레브는 산이 오빠의 신곡을 듣고 어떻게 반응 했을까요??#유튜브 #말랑레브 #1202신곡,0,,"['#유튜브', '#말랑레브', '#1202신곡']","['#instadaily', '#instagood', '#instalike', '#instamood', '#instafashion', '#instapic', '#daily', '#dailylook', '#ootd', '#fashion', '#일상', '#데일리', '#데일리룩', '#셀스타그램', '#얼스타그램', '#셀카', '#셀피', '#말라뮤트', '#알래스칸말라뮤트', '#malamute', '#alaskanmalamute', '#산이', '#칩박스', '#CHEAPBOX', '#홍대', '#홍대입구', '#연남동']",
lookoutside_official,2020-12-1,귀여운 포인트 머플러 + 덕다운패딩,17,,[],"['#첫줄', '#좋아요', '#좋아요반사', '#좋반', '#선팔', '#맞팔', '#팔로우', '#팔로미', '#맞팔해요', '#오오티디', '#ootd', '#fff', '#follow4follow', '#followforfollow', '#follow', '#likes4likes', '#인친환영', '#셀카', '#daily', '#selca', '#f4f', '#l4l', '#selfie', '#여자옷', '#쇼핑몰', '#연남동', '#합정', '#동성로', '#부산']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/128553174_1086348771803324_3869964232155465408_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=JA28xBA6TksAX9PC60V&tp=1&oh=80dedda3c480917b73d5dc83d618a626&oe=5FF0F228
0520__jj,2020-12-1,💜,12,,[],"['#igers', '#인친', '#운동', '#좋아요', '#좋반', '#소통', '#얼스타그램', '#소통', '#맞팔', '#맞팔해요', '#선팔하면맞팔', '#좋아요', '#좋아요반사', '#해운대', '#서울카페', '#서면', '#부산카페', '#인친', '#동성로', '#대구', '#대전', '#연남동', '#한남동', '#수원', '#가로수길', '#상무지구', '#동명동', '#광주카페', '#충장로', '#카페']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128296462_995472077606175_914800865754400039_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=d5fSO5stFAYAX9AvfeY&tp=1&oh=9a2df43ca223a19fbede74f3132ddda1&oe=5FF1004D
,,,0,,[],[],
if_dian,2020-12-1,#소통#오오티디#선팔#맞팔#옷스타그램#셀스타그램#맛집#데일리#데일리룩#패션#뷰티#데이트#일상#일상그램#마켓#블로그#카페#여행#주말#토요일#팔로워#셀카#소통#한남동#이태원#연남동#daily#me#photo#follow,14,,"['#소통', '#오오티디', '#선팔', '#맞팔', '#옷스타그램', '#셀스타그램', '#맛집', '#데일리', '#데일리룩', '#패션', '#뷰티', '#데이트', '#일상', '#일상그램', '#마켓', '#블로그', '#카페', '#여행', '#주말', '#토요일', '#팔로워', '#셀카', '#소통', '#한남동', '#이태원', '#연남동', '#daily', '#me', '#photo', '#follow']","['#소통', '#오오티디', '#선팔', '#맞팔', '#옷스타그램', '#셀스타그램', '#맛집', '#데일리', '#데일리룩', '#패션', '#뷰티', '#데이트', '#일상', '#일상그램', '#마켓', '#블로그', '#카페', '#여행', '#주말', '#토요일', '#팔로워', '#셀카', '#소통', '#한남동', '#이태원', '#연남동', '#daily', '#me', '#photo', '#follow']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/128194859_1433056673557897_4672459478380004824_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=Jhof5O7-uNwAX8HdJGF&tp=1&oh=4acb3befeba00fe19e9fdfdbf320e0e3&oe=5FEE83A7
dmhd_b1,2020-12-1,미국 #빈티지체어 #빈티지의자 #카페의자 #빈티지가구 온니원 입고 카페 펍 스튜디오 인테리어 문의 환영 빈티지 의류 시계 가구 소품 및 전제품 창업 및 도매문의 환영 다양한 빈티지 소품 엔틱 한번에 셋팅 도와드리고 맘에드실때까지 교환도 가능합니다 디자인 브랜딩컨설팅 문의주세요 010-3022-2209#lp #스테인드글라스 #오디오 #턴테이블#브랜딩 #컨설팅  #카페 #펍 #청담동#신설동 #빈티지 #동묘 #동대문 #논현동#홍대 #연남동 #망원동 #디자인체어#woodinterior #이태원 #한남동 #홈데코#미드센츄리 #빈티지의자 #스튜디오 #빈티지가구,1,Dongmyo,"['#빈티지체어', '#빈티지의자', '#카페의자', '#빈티지가구', '#lp', '#스테인드글라스', '#오디오', '#턴테이블', '#브랜딩', '#컨설팅', '#카페', '#펍', '#청담동', '#신설동', '#빈티지', '#동묘', '#동대문', '#논현동', '#홍대', '#연남동', '#망원동', '#디자인체어', '#woodinterior', '#이태원', '#한남동', '#홈데코', '#미드센츄리', '#빈티지의자', '#스튜디오', '#빈티지가구']","['#빈티지체어', '#빈티지의자', '#카페의자', '#빈티지가구', '#lp', '#스테인드글라스', '#오디오', '#턴테이블', '#브랜딩', '#컨설팅', '#카페', '#펍', '#청담동', '#신설동', '#빈티지', '#동묘', '#동대문', '#논현동', '#홍대', '#연남동', '#망원동', '#디자인체어', '#woodinterior', '#이태원', '#한남동', '#홈데코', '#미드센츄리', '#빈티지의자', '#스튜디오', '#빈티지가구']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128508556_714625246115661_7792239633919307043_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Vz-xS1q5iQAAX_f4wp2&tp=1&oh=a170e0dcdf3307e56cc889291507a4d6&oe=5FF1548B
limone_seoul,2020-12-1,Tan Light (탠 라이트)DSS base,,연희동,[],"['#eames', '#eameschair', '#eameschairs', '#eamesshop', '#허먼밀러', '#임스', '#임스체어', '#임스테이블', '#찰스임스', '#찰스임스부부', '#레이임스', '#임스부부', '#미드센츄리', '#미드센츄리가구', '#디자이너가구', '#빈티지가구', '#미드센츄리가구', '#미드센츄리모던', '#미드센츄리인테리어', '#오픈준비중', '#연희동', '#연남동', '#한남동', '#압구정', '#성수동', '#서울숲', '#신혼집인테리어', '#신혼집꾸미기', '#신혼가구']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128686994_128782462184834_4644786008824791258_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=xsuPgD5hiukAX_LWjq2&tp=1&oh=9f054e29b2bc4abb76b54dfcb08f03df&oe=5FF0C39C
dmhd_b1,2020-12-1,미국 #빈티지체어 #빈티지의자 #카페의자 #빈티지가구 온니원 입고 카페 펍 스튜디오 인테리어 문의 환영 빈티지 의류 시계 가구 소품 및 전제품 창업 및 도매문의 환영 다양한 빈티지 소품 엔틱 한번에 셋팅 도와드리고 맘에드실때까지 교환도 가능합니다 디자인 브랜딩컨설팅 문의주세요 010-3022-2209#lp #스테인드글라스 #오디오 #턴테이블#브랜딩 #컨설팅  #카페 #펍 #청담동#신설동 #빈티지 #동묘 #동대문 #논현동#홍대 #연남동 #망원동 #디자인체어#woodinterior #이태원 #한남동 #홈데코#미드센츄리 #빈티지의자 #스튜디오 #빈티지가구,1,Dongmyo,"['#빈티지체어', '#빈티지의자', '#카페의자', '#빈티지가구', '#lp', '#스테인드글라스', '#오디오', '#턴테이블', '#브랜딩', '#컨설팅', '#카페', '#펍', '#청담동', '#신설동', '#빈티지', '#동묘', '#동대문', '#논현동', '#홍대', '#연남동', '#망원동', '#디자인체어', '#woodinterior', '#이태원', '#한남동', '#홈데코', '#미드센츄리', '#빈티지의자', '#스튜디오', '#빈티지가구']","['#빈티지체어', '#빈티지의자', '#카페의자', '#빈티지가구', '#lp', '#스테인드글라스', '#오디오', '#턴테이블', '#브랜딩', '#컨설팅', '#카페', '#펍', '#청담동', '#신설동', '#빈티지', '#동묘', '#동대문', '#논현동', '#홍대', '#연남동', '#망원동', '#디자인체어', '#woodinterior', '#이태원', '#한남동', '#홈데코', '#미드센츄리', '#빈티지의자', '#스튜디오', '#빈티지가구']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128511149_220653239581007_1037883492496828785_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=mNSxFbYNWV0AX9mIzFx&tp=1&oh=0974a7c0ea88d3f935067862d2e6e2ad&oe=5FF02608
